corridor_id,source_country,dest_country,source_currency,dest_currency,volatility_score,sample_count
MM-VE-MMK-VES,MM,VE,MMK,VES,0.0532036054973361606506601860512392,30
PW-GH-USD-GHS,PW,GH,USD,GHS,0.035081674528783403047575579485,30
AD-GH-EUR-GHS,AD,GH,EUR,GHS,0.034635607609251481399152156898,30
MV-CD-MVR-CDF,MV,CD,MVR,CDF,0.0141621648104358637261452987,30
BS-CD-BSD-CDF,BS,CD,BSD,CDF,0.01364281995011485121704388,30
MT-BW-EUR-BWP,MT,BW,EUR,BWP,0.013080919360156318010595584858,30
CO-MZ-COP-MZN,CO,MZ,COP,MZN,0.012716288875677639434021734348781453,30
US-CO-USD-COP,US,CO,USD,COP,0.01264446934077269932581908,30
GP-BR-EUR-BRL,GP,BR,EUR,BRL,0.01214097641105852732755823408297,30
BR-AU-BRL-AUD,BR,AU,BRL,AUD,0.0119506305069241146648605685799188,30
BR-KI-BRL-AUD,BR,KI,BRL,AUD,0.0119506305069241146648605685799188,30
BR-NR-BRL-AUD,BR,NR,BRL,AUD,0.0119506305069241146648605685799188,30
PY-PT-PYG-EUR,PY,PT,PYG,EUR,0.0117444344752910638607232446466048969868,30
BE-UG-EUR-UGX,BE,UG,EUR,UGX,0.01109346829429636618822216,30
RO-KR-RON-KRW,RO,KR,RON,KRW,0.0104372936220125248668289749,30
HU-KR-HUF-KRW,HU,KR,HUF,KRW,0.01039055829747564627257415509075,30
GB-CR-GBP-CRC,GB,CR,GBP,CRC,0.00940712500651558020859767,30
PA-NA-USD-NAD,PA,NA,USD,NAD,0.009382063363807625691930247070,30
ZA-FM-ZAR-USD,ZA,FM,ZAR,USD,0.009373492923788052078637955363555665,30
US-DO-USD-DOP,US,DO,USD,DOP,0.009282407476163123771301052211,30
AU-DO-AUD-DOP,AU,DO,AUD,DOP,0.009072994183443999533298545528,30
KZ-JM-KZT-JMD,KZ,JM,KZT,JMD,0.0090532308122664997300872131403858,30
PH-AR-PHP-ARS,PH,AR,PHP,ARS,0.009019537678627601981050039716,30
GB-CO-GBP-COP,GB,CO,GBP,COP,0.00882467791862391624527548,30
UG-TO-UGX-TOP,UG,TO,UGX,TOP,0.00866655887569573220295400379347500240,30
PR-UG-USD-UGX,PR,UG,USD,UGX,0.00865653380202108483336904,30
GE-AR-GEL-ARS,GE,AR,GEL,ARS,0.00845597936210300192648773,30
AT-NA-EUR-NAD,AT,NA,EUR,NAD,0.008026684575061860915219500906,30
AD-GM-EUR-GMD,AD,GM,EUR,GMD,0.0077019032354838587222957837,30
US-CL-USD-CLP,US,CL,USD,CLP,0.00762976720705118733431041,30
US-AR-USD-ARS,US,AR,USD,ARS,0.00750576774503174642923665,30
AE-AR-AED-ARS,AE,AR,AED,ARS,0.0075057122814934671864470896,30
DO-ZA-DOP-ZAR,DO,ZA,DOP,ZAR,0.0073737872795437436240006751733273,30
CN-TR-CNY-TRY,CN,TR,CNY,TRY,0.00727986990164027789934121391541,30
TZ-DK-TZS-DKK,TZ,DK,TZS,DKK,0.00702616091477055953428651878798468429,30
TV-TH-AUD-THB,TV,TH,AUD,THB,0.006973208273048986961372709705,30
CN-TZ-CNY-TZS,CN,TZ,CNY,TZS,0.0068528796144316670674222011,30
CR-KY-CRC-KYD,CR,KY,CRC,KYD,0.00673661336747682327870447277064714541,30
BS-CR-BSD-CRC,BS,CR,BSD,CRC,0.0066608858752832557088801769,30
BO-CH-BOB-CHF,BO,CH,BOB,CHF,0.0066072532378728797983988755102732,30
MY-KW-MYR-KWD,MY,KW,MYR,KWD,0.0065208965987952297589806858271608,30
LI-BT-CHF-BTN,LI,BT,CHF,BTN,0.0064918762001852094948255118,30
TR-GR-TRY-EUR,TR,GR,TRY,EUR,0.006346459746164048698416720783978037,30
CH-PW-CHF-USD,CH,PW,CHF,USD,0.00628044699578215369068141018754,30
CH-MU-CHF-MUR,CH,MU,CHF,MUR,0.006243945066570595652278059059,30
AU-PH-AUD-PHP,AU,PH,AUD,PHP,0.006240445942364328236635378554,30
AU-EG-AUD-EGP,AU,EG,AUD,EGP,0.006109915768685796135011999814,30
CN-TW-CNY-TWD,CN,TW,CNY,TWD,0.00608046564164506652439489778301,30
AT-NG-EUR-NGN,AT,NG,EUR,NGN,0.00599873093863398865584254,30
PL-DO-PLN-DOP,PL,DO,PLN,DOP,0.005886915212471304866339883147,30
SG-TH-SGD-THB,SG,TH,SGD,THB,0.005875620401342448221766418427,30
IT-HU-EUR-HUF,IT,HU,EUR,HUF,0.0057155281077095703203521170,30
AU-IN-AUD-INR,AU,IN,AUD,INR,0.005711009744481195361876449138,30
PT-CL-EUR-CLP,PT,CL,EUR,CLP,0.00565266947398892369449801,30
NZ-PH-NZD-PHP,NZ,PH,NZD,PHP,0.005651837094833645219851915069,30
JP-PT-JPY-EUR,JP,PT,JPY,EUR,0.00563016914338178444035661492695201000,30
JP-NL-JPY-EUR,JP,NL,JPY,EUR,0.00563016914338178444035661492695201000,30
SK-JP-EUR-JPY,SK,JP,EUR,JPY,0.0056077173392400791567559486,30
UA-NR-UAH-AUD,UA,NR,UAH,AUD,0.005600183133687119052559658749260593,30
UA-KI-UAH-AUD,UA,KI,UAH,AUD,0.005600183133687119052559658749260593,30
AD-GN-EUR-GNF,AD,GN,EUR,GNF,0.005582990658749831053895,30
LI-GE-CHF-GEL,LI,GE,CHF,GEL,0.00552172334678151857594211540319,30
IN-CZ-INR-CZK,IN,CZ,INR,CZK,0.0055027708669713899727333655036046,30
NO-MZ-NOK-MZN,NO,MZ,NOK,MZN,0.00550114214023995975002292746785,30
GB-NG-GBP-NGN,GB,NG,GBP,NGN,0.00538529640366820697415949,30
AE-AU-AED-AUD,AE,AU,AED,AUD,0.0052880212285177203464838909572198,30
EC-MX-USD-MXN,EC,MX,USD,MXN,0.005255264166284154755420355286,30
US-MX-USD-MXN,US,MX,USD,MXN,0.005255264166284154755420355286,30
IT-ID-EUR-IDR,IT,ID,EUR,IDR,0.005234992768513362767912,30
NR-MO-AUD-MOP,NR,MO,AUD,MOP,0.00518460959938604514540787383635,30
HN-CZ-HNL-CZK,HN,CZ,HNL,CZK,0.00517200290004285752213354568692,30
PW-GM-USD-GMD,PW,GM,USD,GMD,0.0051420027829684443773575050,30
YT-IN-EUR-INR,YT,IN,EUR,INR,0.0051365167641630018611417209,30
IN-DK-INR-DKK,IN,DK,INR,DKK,0.0051169969719607794020400914995119,30
IL-ZA-ILS-ZAR,IL,ZA,ILS,ZAR,0.00509587997951345708519334898608,30
MY-LA-MYR-LAK,MY,LA,MYR,LAK,0.00502148651044914266786413,30
AF-AL-AFN-ALL,AF,AL,AFN,ALL,0.00499211326029753148429219070235,30
PL-EG-PLN-EGP,PL,EG,PLN,EGP,0.004967294698897678587030979963,30
GF-NO-EUR-NOK,GF,NO,EUR,NOK,0.004911737757417173153990019281,30
GB-IN-GBP-INR,GB,IN,GBP,INR,0.0048943839743122974850479929,30
IL-VN-ILS-VND,IL,VN,ILS,VND,0.004883397290667518110897,30
IQ-GI-IQD-GIP,IQ,GI,IQD,GIP,0.00487944873484114929918335081964712582,30
PS-CF-ILS-XAF,PS,CF,ILS,XAF,0.0048059552229533377021315552,30
YT-PS-EUR-ILS,YT,PS,EUR,ILS,0.00479210526022936737662893720302,30
US-GB-USD-GBP,US,GB,USD,GBP,0.00476146108951010778984817691690,30
VG-GB-USD-GBP,VG,GB,USD,GBP,0.00476146108951010778984817691690,30
GI-FM-GIP-USD,GI,FM,GIP,USD,0.00475987397361977583040397534086,30
CA-IN-CAD-INR,CA,IN,CAD,INR,0.0047431759922984646855103476,30
GF-NP-EUR-NPR,GF,NP,EUR,NPR,0.0047323399495377969547368888,30
NO-SE-NOK-SEK,NO,SE,NOK,SEK,0.00466242566918869471470304392700,30
PA-NG-USD-NGN,PA,NG,USD,NGN,0.00458450536333987813473098,30
US-NG-USD-NGN,US,NG,USD,NGN,0.00458450536333987813473098,30
GB-PH-GBP-PHP,GB,PH,GBP,PHP,0.0045208204532027851283206495,30
AU-AD-AUD-EUR,AU,AD,AUD,EUR,0.00451364974518515672310325026154,30
KI-ES-AUD-EUR,KI,ES,AUD,EUR,0.00451364974518515672310325026154,30
KI-SI-AUD-EUR,KI,SI,AUD,EUR,0.00451364974518515672310325026154,30
KI-SK-AUD-EUR,KI,SK,AUD,EUR,0.00451364974518515672310325026154,30
CU-PL-CUP-PLN,CU,PL,CUP,PLN,0.0045064596697047842367426092794698,30
US-JP-USD-JPY,US,JP,USD,JPY,0.0044993587813997081674684296,30
SG-IN-SGD-INR,SG,IN,SGD,INR,0.0044924679051510717091403827,30
